航班号,日期,机型,始发地四字,目的地四字,始发时间,到达时间,飞行时间
CJT981,2020.03.29,B763,MMGL,KCVG,08:24,13:30,3:05
CJT981,2020.03.27,B763,MMGL,KCVG,19:01,12:07,3:06
CJT981,2020.03.27,Unknown,MMQT,MMGL,16:53,17:35,0:41
CJT981,2020.03.26,B763,MMGL,KCVG,19:00,12:00,3:00
CJT981,2020.03.25,B763,MMGL,KCVG,19:03,12:08,3:05
CJT981,2020.03.24,B763,MMGL,KCVG,18:55,12:06,3:10
CJT981,2020.03.24,Unknown,MMQT,MMGL,17:06,17:44,0:37
CJT981,2020.03.23,B763,MMGL,KCVG,19:18,12:26,3:08
CJT981,2020.03.23,Unknown,MMQT,MMGL,17:11,17:52,0:40
CJT981,2020.03.22,B763,MMGL,KCVG,08:21,13:35,3:14
CJT981,2020.03.22,Unknown,MMQT,MMGL,06:24,06:58,0:33
CJT981,2020.03.20,B763,MMGL,KCVG,19:12,12:20,3:08
CJT981,2020.03.20,Unknown,MMQT,MMGL,17:06,17:45,0:38
CJT981,2020.03.19,B763,MMGL,KCVG,19:15,12:23,3:08
CJT981,2020.03.19,Unknown,MMQT,MMGL,17:20,18:05,0:45
CJT981,2020.03.18,B763,MMGL,KCVG,19:02,12:09,3:07
CJT981,2020.03.18,Unknown,MMQT,MMGL,17:15,17:49,0:33
CJT981,2020.03.17,B763,MMGL,KCVG,19:19,12:26,3:07
CJT981,2020.03.17,Unknown,MMQT,MMGL,17:19,17:55,0:35
CJT981,2020.03.16,B763,MMGL,KCVG,17:04,22:09,3:04
CJT981,2020.03.16,Unknown,MMQT,MMGL,15:15,15:53,0:37
CJT981,2020.03.15,B763,MMGL,KCVG,08:36,13:44,3:08
CJT981,2020.03.15,Unknown,MMQT,MMGL,06:21,06:54,0:32
CJT981,2020.03.13,B763,MMGL,KCVG,19:15,12:14,2:59
CJT981,2020.03.13,Unknown,MMQT,MMGL,17:15,17:52,0:36
CJT981,2020.03.12,B763,MMGL,KCVG,19:10,12:22,3:11
CJT981,2020.03.12,Unknown,MMQT,MMGL,17:23,17:56,0:32
CJT981,2020.03.11,B763,MMGL,KCVG,19:12,12:27,3:15
CJT981,2020.03.10,B763,MMGL,KCVG,19:13,12:29,3:16
CJT981,2020.03.10,Unknown,MMQT,MMGL,17:15,17:59,0:43
CJT981,2020.03.09,B763,MMGL,KCVG,19:06,12:10,3:04
TWB702,2020.06.12,737,RKPC,RKSS,08:05,08:55,已排班
TWB702,2020.06.11,737,RKPC,RKSS,08:05,08:55,已排班
TWB702,2020.06.10,737,RKPC,RKSS,08:08,08:58,0:50
TWB702,2020.06.09,737,RKPC,RKSS,08:28,09:12,0:43
TWB702,2020.06.08,737,RKPC,RKSS,08:17,09:25,1:08
TWB702,2020.06.07,737,RKPC,RKSS,08:09,09:01,0:51
TWB702,2020.06.06,737,RKPC,RKSS,08:14,09:06,0:51
TWB702,2020.06.05,737,RKPC,RKSS,08:29,09:16,0:46
TWB702,2020.06.04,737,RKPC,RKSS,08:32,09:21,0:48
TWB702,2020.06.03,737,RKPC,RKSS,08:06,08:53,0:46
TWB702,2020.06.02,737,RKPC,RKSS,08:34,09:23,0:48
TWB702,2020.06.01,737,RKPC,RKSS,08:11,08:58,0:46
TWB702,2020.05.31,737,RKPC,RKSS,08:20,09:08,0:47
TWB702,2020.05.30,737,RKPC,RKSS,08:08,08:53,0:44
TWB702,2020.05.29,737,RKPC,RKSS,08:02,08:47,0:44
TWB702,2020.05.28,737,RKPC,RKSS,08:35,09:26,0:51
TWB702,2020.05.27,737,RKPC,RKSS,08:10,08:58,0:47
TWB702,2020.05.26,737,RKPC,RKSS,08:31,09:15,0:43
TWB702,2020.05.25,737,RKPC,RKSS,08:03,09:15,1:12
TWB702,2020.05.24,737,RKPC,RKSS,08:03,08:52,0:48
TWB702,2020.05.23,737,RKPC,RKSS,08:04,08:56,0:52
TWB702,2020.05.22,737,RKPC,RKSS,08:06,08:55,0:48
TWB702,2020.05.21,737,RKPC,RKSS,08:07,09:01,0:53
TWB702,2020.05.20,737,RKPC,RKSS,08:00,08:50,0:49
TWB702,2020.05.19,737,RKPC,RKSS,07:55,08:51,0:55
TWB702,2020.05.18,737,RKPC,RKSS,08:04,08:48,0:43
TWB702,2020.05.17,737,RKPC,RKSS,07:51,08:45,0:54
TWB702,2020.05.16,737,RKPC,RKSS,08:30,09:22,0:51
TWB702,2020.05.15,737,RKPC,RKSS,08:11,09:00,0:48
TWB702,2020.05.14,737,RKPC,RKSS,08:08,09:02,0:53
TWB702,2020.05.13,737,RKPC,RKSS,07:50,08:55,1:05
TWB702,2020.05.12,737,RKPC,RKSS,08:11,09:05,0:53
TWB702,2020.05.11,737,RKPC,RKSS,08:01,08:47,0:45
TWB702,2020.05.10,737,RKPC,RKSS,08:06,08:53,0:46
TWB702,2020.05.09,737,RKPC,RKSS,09:51,10:44,0:52
TWB702,2020.05.08,737,RKPC,RKSS,08:22,09:11,0:48
TWB702,2020.05.07,737,RKPC,RKSS,08:07,08:58,0:50
TWB702,2020.05.06,737,RKPC,RKSS,08:06,08:52,0:45
TWB702,2020.05.05,737,RKPC,RKSS,08:06,08:54,0:47
TWB702,2020.05.04,737,RKPC,RKSS,08:17,09:02,0:45
TWB702,2020.05.03,737,RKPC,RKSS,08:11,08:57,0:45
TWB702,2020.05.02,737,RKPC,RKSS,08:11,08:50,0:38
TWB702,2020.05.01,737,RKPC,RKSS,08:06,08:59,0:52
TWB702,2020.04.30,737,RKPC,RKSS,08:02,08:57,0:54
TWB702,2020.04.29,737,RKPC,RKSS,08:03,08:54,0:50
TWB702,2020.04.26,737,RKPC,RKSS,08:07,08:55,0:47
TWB702,2020.04.25,737,RKPC,RKSS,08:03,08:57,0:53
TWB702,2020.04.24,737,RKPC,RKSS,07:59,08:54,0:54
TWB702,2020.04.22,737,RKPC,RKSS,07:59,08:47,0:47
TWB702,2020.04.13,737,RKPC,RKSS,08:05,08:55,已取消
TWB702,2020.04.12,737,RKPC,RKSS,08:05,08:55,已取消
TWB702,2020.04.11,737,RKPC,RKSS,08:05,08:55,已取消
TWB702,2020.04.10,737,RKPC,RKSS,08:02,08:54,0:51
TWB702,2020.04.06,737,RKPC,RKSS,08:00,08:51,0:50
TWB702,2020.04.05,737,RKPC,RKSS,08:02,08:58,0:56
TWB702,2020.04.04,737,RKPC,RKSS,08:02,08:55,0:53
TWB702,2020.04.03,737,RKPC,RKSS,08:05,08:50,0:44
TWB702,2020.04.02,737,RKPC,RKSS,08:04,08:54,0:49
TWB702,2020.04.01,737,RKPC,RKSS,08:00,08:49,0:48
TWB702,2020.03.31,737,RKPC,RKSS,08:06,08:53,0:47
TWB702,2020.03.30,737,RKPC,RKSS,08:09,08:54,0:44
TWB702,2020.03.29,737,RKPC,RKSS,08:02,08:48,0:45
TWB702,2020.03.28,737,RKPC,RKSS,08:08,08:54,0:45
TWB702,2020.03.27,737,RKPC,RKSS,07:59,08:41,0:42
TWB702,2020.03.26,737,RKPC,RKSS,08:03,08:49,0:45
TWB702,2020.03.25,737,RKPC,RKSS,08:03,08:54,0:50
TWB702,2020.03.24,737,RKPC,RKSS,08:04,08:52,0:47
TWB702,2020.03.23,737,RKPC,RKSS,08:10,08:58,0:47
TWB702,2020.03.22,737,RKPC,RKSS,08:03,08:56,0:52
TWB702,2020.03.21,737,RKPC,RKSS,08:06,09:03,0:57
TWB702,2020.03.20,737,RKPC,RKSS,08:13,09:02,0:49
TWB702,2020.03.19,737,RKPC,RKSS,08:01,08:47,0:46
TWB702,2020.03.18,737,RKPC,RKSS,08:07,08:58,0:50
TWB702,2020.03.17,737,RKPC,RKSS,08:07,08:59,0:51
TWB702,2020.03.16,737,RKPC,RKSS,08:09,08:59,0:49
TWB702,2020.03.15,737,RKPC,RKSS,07:59,08:51,0:51
TWB702,2020.03.14,737,RKPC,RKSS,08:04,08:54,0:49
TWB702,2020.03.13,737,RKPC,RKSS,08:03,08:49,0:45
TWB702,2020.03.12,737,RKPC,RKSS,08:03,08:58,0:55
TWB702,2020.03.11,737,RKPC,RKSS,07:52,09:04,1:12
AAL237,2020.06.10,A321,KLAX,KJFK,23:10,07:11,已排班
AAL237,2020.06.09,A321,KLAX,KJFK,23:05,06:56,4:50
AAL237,2020.06.08,A321,KLAX,KJFK,23:14,07:08,4:53
AAL237,2020.06.07,A321,KLAX,KJFK,23:15,06:56,4:40
AAL237,2020.06.06,A321,KLAX,KJFK,23:12,07:05,4:53
AAL237,2020.06.05,A321,KLAX,KJFK,23:19,07:11,4:51
AAL237,2020.06.04,A321,KLAX,KJFK,23:15,07:06,4:50
AAL237,2020.05.12,A321,KLAX,KJFK,23:02,06:51,已取消
AAL237,2020.05.11,A321,KLAX,KJFK,23:02,06:51,已取消
AAL237,2020.05.10,A321,KLAX,KJFK,23:02,06:51,已取消
AAL237,2020.05.09,A321,KLAX,KJFK,23:02,06:51,已取消
AAL237,2020.05.08,A321,KLAX,KJFK,23:02,06:51,已取消
AAL237,2020.05.07,A321,KLAX,KJFK,23:02,06:51,已取消
AAL237,2020.04.06,B738,MMSD,KLAX,15:07,16:16,2:08
AAL237,2020.04.06,B738,KLAX,MMSD,10:48,13:59,2:10
AAL237,2020.04.05,B738,MMSD,KLAX,15:04,16:10,2:05
AAL237,2020.04.05,B738,KLAX,MMSD,10:43,13:47,2:03
AAL237,2020.04.04,B738,MMSD,KLAX,13:59,16:01,2:02
AAL237,2020.04.04,B738,KLAX,MMSD,10:51,24:48,1:57
AAL237,2020.04.03,B738,MMSD,KLAX,14:04,16:20,2:15
AAL237,2020.04.03,B738,KLAX,MMSD,10:46,24:43,1:56
AAL237,2020.04.02,B738,MMSD,KLAX,14:03,16:24,2:20
AAL237,2020.04.02,B738,KLAX,MMSD,10:50,24:48,1:57
AAL237,2020.04.01,B738,MMSD,KLAX,13:47,15:55,2:07
AAL237,2020.04.01,B738,KLAX,MMSD,10:46,24:44,1:58
AAL237,2020.03.31,B738,MMSD,KLAX,15:23,17:25,2:01
AAL237,2020.03.31,B738,KLAX,MMSD,10:46,24:46,1:59
AAL237,2020.03.30,B738,MMSD,KLAX,14:17,16:25,2:07
AAL237,2020.03.30,B738,KLAX,MMSD,10:52,24:53,2:00
AAL237,2020.03.29,B738,MMSD,KLAX,14:11,16:29,2:17
AAL237,2020.03.29,B738,KLAX,MMSD,11:15,13:10,1:54
AAL237,2020.03.28,B738,MMSD,KLAX,14:08,16:30,2:21
AAL237,2020.03.28,B738,KLAX,MMSD,10:46,24:36,1:50
AAL237,2020.03.27,B738,MMSD,KLAX,15:06,17:20,2:13
AAL237,2020.03.27,B738,KLAX,MMSD,24:18,14:15,1:56
AAL237,2020.03.26,B738,MMSD,KLAX,14:01,16:05,2:03
AAL237,2020.03.26,B738,KLAX,MMSD,10:46,24:49,2:02
AAL237,2020.03.25,B738,MMSD,KLAX,14:06,16:09,2:02
AAL237,2020.03.25,B738,KLAX,MMSD,10:57,24:58,2:01
AAL237,2020.03.24,B738,MMSD,KLAX,14:04,16:10,2:05
AAL237,2020.03.24,B738,KLAX,MMSD,10:38,24:49,2:10
AAL237,2020.03.23,B738,MMSD,KLAX,14:12,16:40,已取消
AAL237,2020.03.23,B738,KLAX,MMSD,10:55,24:57,已取消
AAL237,2020.03.22,B738,MMSD,KLAX,14:06,16:16,2:09
AAL237,2020.03.22,B738,KLAX,MMSD,10:54,24:44,1:50
AAL237,2020.03.21,B738,MMSD,KLAX,14:21,16:44,2:23
AAL237,2020.03.21,B738,KLAX,MMSD,10:44,24:30,1:46
AAL237,2020.03.20,B738,MMSD,KLAX,14:08,16:18,2:09
AAL237,2020.03.20,B738,KLAX,MMSD,10:56,24:57,2:01
AAL237,2020.03.19,B738,MMSD,KLAX,14:10,16:20,2:10
AAL237,2020.03.19,B738,KLAX,MMSD,10:37,24:31,1:53
AAL237,2020.03.18,B738,MMSD,KLAX,14:07,16:15,2:08
AAL237,2020.03.18,B738,KLAX,MMSD,10:45,24:47,2:02
AAL237,2020.03.17,B738,MMSD,KLAX,14:11,16:17,2:06
AAL237,2020.03.17,B738,KLAX,MMSD,10:57,24:58,2:01
AAL237,2020.03.16,B738,MMSD,KLAX,14:16,16:27,2:10
AAL237,2020.03.16,B738,KLAX,MMSD,10:49,24:50,2:01
AAL237,2020.03.15,B738,MMSD,KLAX,14:13,16:20,2:06
AAL237,2020.03.15,B738,KLAX,MMSD,10:48,24:49,2:01
AAL237,2020.03.14,B738,MMSD,KLAX,14:39,16:41,2:01
AAL237,2020.03.14,B738,KLAX,MMSD,11:16,13:27,2:11
AAL237,2020.03.13,B738,MMSD,KLAX,14:23,16:27,2:03
AAL237,2020.03.13,B738,KLAX,MMSD,11:05,13:07,2:02
AAL237,2020.03.12,B738,MMSD,KLAX,14:45,16:50,2:05
AAL237,2020.03.12,B738,KLAX,MMSD,11:01,13:15,2:13
AAL237,2020.03.11,B738,MMSD,KLAX,14:27,16:28,2:01
AAL237,2020.03.11,B738,KLAX,MMSD,10:51,13:06,2:15
AAL237,2020.03.10,B738,MMSD,KLAX,14:18,16:29,2:10
AAL237,2020.03.10,B738,KLAX,MMSD,10:53,24:56,2:03
JBU616,2020.03.31,A321,KSFO,KJFK,16:15,12:04,4:48
JBU616,2020.03.30,A321,KSFO,KJFK,16:09,23:45,4:35
JBU616,2020.03.29,A321,KSFO,KJFK,16:03,23:49,4:45
JBU616,2020.03.28,A321,KSFO,KJFK,15:50,23:46,4:55
JBU616,2020.03.27,A321,KSFO,KJFK,15:54,23:35,4:40
JBU616,2020.03.26,A320,KSFO,KJFK,16:01,12:15,已取消
JBU616,2020.03.25,A320,KSFO,KJFK,16:01,12:15,已取消
JBU616,2020.03.24,A320,KSFO,KJFK,16:01,12:15,已取消
JBU616,2020.03.23,A321,KSFO,KJFK,16:55,12:47,4:51
JBU616,2020.03.22,A321,KSFO,KJFK,15:48,23:59,5:11
JBU616,2020.03.21,A321,KSFO,KJFK,15:53,12:03,5:09
JBU616,2020.03.20,A321,KSFO,KJFK,17:12,01:31,5:18
JBU616,2020.03.19,A321,KSFO,KJFK,15:49,23:39,4:49
JBU616,2020.03.18,A321,KSFO,KJFK,16:04,12:18,已取消
JBU616,2020.03.17,A321,KSFO,KJFK,15:46,23:29,4:42
JBU616,2020.03.16,A321,KSFO,KJFK,15:48,23:33,4:44
JBU616,2020.03.15,A321,KSFO,KJFK,16:07,23:53,4:45
JBU616,2020.03.14,A321,KSFO,KJFK,16:22,23:58,4:35
JBU616,2020.03.13,A321,KSFO,KJFK,15:56,23:43,4:47
JBU616,2020.03.12,A321,KSFO,KJFK,15:54,23:26,4:31
JBU616,2020.03.11,A321,KSFO,KJFK,15:48,23:42,4:53
JBU616,2020.03.10,A321,KSFO,KJFK,15:54,23:35,4:40
DLH457,2020.03.14,A388,KLAX,EDDF,16:40,11:20,已取消
DLH457,2020.03.13,A388,KLAX,EDDF,17:06,11:02,9:55
DLH457,2020.03.12,A388,KLAX,EDDF,17:43,11:31,9:47
DLH457,2020.03.11,A388,KLAX,EDDF,17:14,11:03,9:49
DLH457,2020.03.10,A388,KLAX,EDDF,16:49,10:52,10:02
AAR623,2020.03.22,A333,RKSI,PGSN,08:12,24:57,3:45
AAR623,2020.03.16,A333,RKSI,PGSN,08:19,13:07,3:48
AAR623,2020.03.15,A321,RKSI,PGSN,08:17,24:58,3:40
AAR623,2020.03.13,A321,RKSI,PGSN,08:13,24:52,3:38
AAR623,2020.03.11,A321,RKSI,PGSN,08:24,13:19,3:54
GLO1440,2020.03.27,Unknown,SBGR,SBGO,04:49,06:03,1:14
GLO1440,2020.03.24,B738,SBGR,SBGO,20:45,22:05,已取消
GLO1440,2020.03.23,B737,SBGR,SBGO,20:45,22:05,已取消
GLO1440,2020.03.23,B737,SBGR,SBGO,20:45,22:05,已取消
GLO1440,2020.03.23,Unknown,SBGR,SBGO,04:31,05:42,1:11
GLO1440,2020.03.22,Unknown,SBGR,SBGO,04:29,05:45,1:16
GLO1440,2020.03.20,B738,SBGR,SBGO,20:44,21:58,1:14
GLO1440,2020.03.19,B738,SBGR,SBGO,20:48,22:07,1:18
GLO1440,2020.03.18,B738,SBGR,SBGO,20:46,21:56,1:10
GLO1440,2020.03.17,B738,SBGR,SBGO,20:47,21:52,1:04
GLO1440,2020.03.14,B738,SBGR,SBGO,20:44,21:56,1:12
GLO1440,2020.03.12,B738,SBGR,SBGO,21:02,22:11,1:08
